"PostPal shipping plugin is not configured correctly", "PostPal shipping plugin is not configured correctly"
"Address not Found", "Incorrect Shipping Address"
"Address out of range", "Address is out of PostPal covearage area"
"ETA:", "ETA:"
"Name is missing", "Name is missing"
"Address is missing", "Address is missing"
"Phone number is missing", "Phone number is missing"
"Package size is missing", "Package size is missing"
"Company name is not correct", "Company name is not correct"
"E-mail is not correct", "Email is not correct"
"Apartment in address is not correct", "Apartment in address is not correct"
"Address is not correct", "Address is not correct"
"Locality in address is not correct", "Locality in address is not correct"
"Country in address is not correct", "Country in address is not correct"
"Postal code is not correct", "Postal code is not correct"
"Phone number is not correct", "Phone number is not correct"
"Notes are not correct", "Notes are not correct"
"Package size is not correct", "Package size is not correct"